day	wk1	wk2	wk3	wk4	wk5	wk6	cumm	covid	country
6	1	0	0	0	0	0	0	0	12
7	1	0	0	0	0	0	0	0	12
8	1	0	0	0	0	0	0	0	12
9	1	0	0	0	0	0	0	0	12
10	1	0	0	0	0	0	0	0	12
11	1	0	0	0	0	0	0	0	12
12	1	0	0	0	0	0	0	0	12
13	1	0	0	0	0	0	0	0	12
14	1	0	0	0	0	0	0	0	12
15	1	0	0	0	0	0	0	0	12
16	1	0	0	0	0	0	0	0	12
17	1	0	0	0	0	0	0	0	12
18	1	0	0	0	0	0	0	0	12
19	1	0	0	0	0	0	0	0	12
20	1	0	0	0	0	0	0	0	12
21	1	0	0	0	0	0	0	0	12
22	1	0	0	0	0	0	0	0	12
23	1	0	0	0	0	0	0	0	12
24	1	0	0	0	0	0	0	0	12
25	1	0	0	0	0	0	0	0	12
26	1	0	0	0	0	0	0	0	12
27	1	0	0	0	0	0	0	1	12
28	1	0	0	0	0	0	1	0	12
29	1	0	0	0	0	0	1	0	12
30	0	1	0	0	0	0	1	3	12
31	0	1	0	0	0	0	4	0	12
32	0	1	0	0	0	0	4	1	12
33	0	1	0	0	0	0	5	0	12
34	0	1	0	0	0	0	5	1	12
35	0	1	0	0	0	0	6	3	12
36	0	1	0	0	0	0	9	5	12
37	0	0	1	0	0	0	14	3	12
38	0	0	1	0	0	0	17	8	12
39	0	0	1	0	0	0	25	0	12
40	0	0	1	0	0	0	25	48	12
41	0	0	1	0	0	0	73	7	12
42	0	0	1	0	0	0	80	16	12
43	0	0	1	0	0	0	96	5	12
44	0	0	0	1	0	0	101	39	12
45	0	0	0	1	0	0	140	25	12
46	0	0	0	1	0	0	165	3	12
47	0	0	0	1	0	0	168	0	12
48	0	0	0	1	0	0	168	22	12
49	0	0	0	1	0	0	190	4	12
50	0	0	0	1	0	0	194	24	12
51	0	0	0	0	1	0	218	27	12
52	0	0	0	0	1	0	245	16	12
53	0	0	0	0	1	0	261	62	12
54	0	0	0	0	1	0	323	26	12
55	0	0	0	0	1	0	349	35	12
56	0	0	0	0	1	0	384	60	12
57	0	0	0	0	1	0	444	36	12
58	0	0	0	0	0	1	480	53	12
59	0	0	0	0	0	1	533	41	12
60	0	0	0	0	0	1	574	52	12
61	0	0	0	0	0	1	626	0	12
62	0	0	0	0	0	1	626	0	12
1	1	0	0	0	0	0	0	0	11
2	1	0	0	0	0	0	0	0	11
3	1	0	0	0	0	0	0	0	11
